True diagnosis ,Presents with,Required questions,Optional questions,"Required exams <<May need to have ""right"" answer for this row>>",Final diagnosis,Treatment plan,Follow-up instructions
"Cough and difficulty breathing
(e.g. child has chest indrawing)",Cough,"– Ask: “For how long has the child had the cough?” (duration helps identify chronic cough ≥14 days) (p. 23)
– Ask about danger signs: Is the child unable to drink or breastfeed? (p. 23) Has the child had convulsions during this illness? (p. 23)","– Ask if the child has had fever in the last 3 days (to check for co-infection like malaria) (p. 23)
– Ask the caregiver if there are any other concerns or symptoms not already mentioned (open-ended, to not miss other problems) (p. 23)","– Look for chest indrawing in the lower chest wall when the child breathes in (sign of severe pneumonia) (p. 22) =Yes
– Count the respiratory rate for 1 full minute to detect fast breathing (≥50 breaths/min if 2–12 mo; ≥40 if 12 mo–5 yr) (p. 26) = Any
– Check for malnutrition: measure MUAC and check for edema (to identify severe malnutrition) (p. 44)",Severe pneumonia (cough with chest indrawing present – a danger sign) (p. 22) → Refer urgently.,– Urgent referral to health facility is required for chest indrawing (severe pneumonia) (p. 22). Begin pre-referral treatment: give first dose of oral antibiotic (amoxicillin) if the child can swallow (p. 105) before sending to hospital. Ensure the child is kept warm and reassured during transfer.,"– Immediate referral – advise caregiver to go to the hospital without delay. Provide a referral note and assist with transport if needed. No routine CHW follow-up (child will be managed at facility), but the CHW should check on the family soon after to confirm the child received care and to provide support after hospital treatment. (p. 113)"
"Cough or cold (no fast breathing, no danger signs)",cough or cold ,"– Ask: “For how long has the child had the cough?” (to ensure it’s <14 days) (p. 23)
– Ask if difficulty feeding or drinking (to rule out danger sign) (p. 23)","– Ask if the child’s nose is congested or if any home remedies were tried for the cough (helps in advising care, but doesn’t change diagnosis).
– Confirm no fever or other complaints (to ensure it’s just a simple cough).","– Count breaths to confirm breathing rate is normal (no fast breathing for age) (p. 26)
– Check for chest indrawing (none, in this scenario) (p. 22)
– Check MUAC/edema to assess nutritional status (routine check).","No pneumonia (Simple cough/cold) – cough <14 days, normal breathing, no danger signs (p. 46).","– No antibiotics needed (explain that without fast breathing, it’s likely a mild cough/cold) (p. 46). Advise home care: use a safe soothing remedy like a bit of honey in warm water to calm the cough (for child >6 months) (p. 46). Ensure the child continues feeding well and fluids. Warn against cough syrups or unsafe medicines (p. 46).","– Counsel the caregiver to monitor the child at home. No scheduled follow-up is required for a simple cold, but advise to return if the cough lasts ≥14 days, or if breathing becomes fast or difficult, or any new danger sign develops. (p. 39)"
"Cough with fast breathing (no chest indrawing, no other danger sign)",cough ,"– Ask: “How long has the child been coughing?” (to rule out chronic cough ≥14 days) (p. 23)
– Ask if fever is present or any vomiting (fever may indicate co-infection; vomiting could affect oral treatment) (p. 23)","– Ask if the child is wheezing or has asthma history (optional, may not alter initial pneumonia treatment but useful context).
– Inquire about previous treatment given for the cough (to know if the caregiver started any medicines).","– Count respiratory rate to confirm fast breathing above age threshold (sign of pneumonia) (p. 26).
– Check for chest indrawing (none in this case, distinguishes from severe pneumonia) (p. 22).
– Check temperature (fever) and perform a malaria RDT if fever is present (to detect malaria) (p. 75).
– Assess nutrition (MUAC strap color, edema) as part of full exam (p. 44).","Pneumonia (cough with fast breathing, but no chest indrawing or other danger sign) (p. 45).","– Oral antibiotic: start a course of amoxicillin for pneumonia (appropriate dose for age, 2x daily for 5 days) (p. 45). Have the caregiver give the first dose under observation now. If the child also tested positive for malaria, begin antimalarial treatment as well (treat both illnesses) – e.g. give first dose of ACT now (p. 83). Advise continued breastfeeding and fluids.","– Follow up in 3 days to assess recovery (p. 98). At the follow-up, check breathing rate and overall condition. If child is not improving (still fast breathing or new fever) or gets worse before then, refer to a health facility. Advise caregiver to return sooner if any danger sign develops. (p. 98)"
Cough ≥14 days (chronic cough),cough ,"– Ask in detail: “Exactly how many days has the cough been present?” (confirm it is two weeks or more) (p. 38).
– Ask about weight loss or contact with someone with tuberculosis (to gather possible cause, though management is referral)","– Ask if the cough is improving at all or steadily worsening (for additional context).
– Ask if caregiver sought any prior treatment over these two weeks (optional background).","– Assess breathing: count rate and check for any fast breathing or chest indrawing. (Even if present, a ≥14 day cough is a danger sign requiring referral) (p. 38)【42†L1522-L1529}.
– Check for fever or other signs (to note if multiple issues).
– Nutritional assessment (MUAC/edema), as prolonged illness may cause malnutrition.","Persistent cough (cough ≥14 days – possible TB, asthma, or pertussis) – a danger sign requiring further evaluation (p. 38)【42†L1522-L1529】.","– Refer to health facility for assessment of chronic cough (possible tuberculosis or other chronic illness). No community treatment is given for the cough’s cause before referral (provide symptomatic relief only). If the child has fast breathing, you may give the first dose of amoxicillin to treat possible pneumonia on the way, but primary management is referral for investigations (p. 38).","– Urgent referral (same day). Advise the caregiver that the child needs tests/assessment at the clinic for a long-lasting cough. Instruct to keep the child away from other young children if TB is suspected (until evaluated). After referral, coordinate with the clinic on follow-up. The CHW should follow up on the outcome within a week."
"Diarrhea (no dehydration)
(loose stools <14 days, child active)",diarrhea ,"– Ask: “For how long has the child had diarrhea (loose stools)?” (p. 23) (distinguish acute vs. ≥14 days).
– Ask: “Is there blood in the stool?” (p. 23) (to check for dysentery).","– Ask about the child’s fluid intake and urine output (optional – helps gauge hydration).
– Ask if any home fluids or remedies have been given for the diarrhea (to reinforce good practices or correct any wrong ones).","– Assess dehydration signs: check if eyes look sunken, skin pinch elasticity (if trained), and observe if child is thirsty. In this case, no notable dehydration signs (child is alert, not thirsty) (p. 66).
– Check for fever (could indicate concurrent infection).
– Weigh the child or check MUAC, as diarrhea can quickly affect nutrition (ensure MUAC is not in red/yellow indicating malnutrition) (p. 44).","Uncomplicated diarrhea (acute diarrhea <14 days, no blood, no signs of dehydration) (p. 66).","– Oral rehydration therapy (ORT): Give fluids and oral rehydration salts. Demonstrate ORS preparation and help the caregiver give the child ORS solution on the spot until the child is no longer thirsty (p. 66). Send the caregiver home with at least 2 packets of ORS and instructions to give as much as the child wants, at least ½ cup after each loose stool (p. 66). 
– Zinc supplementation: Give zinc (age-appropriate dose: e.g. 1/2 tablet daily for <6 mo, 1 tablet for older, for 10 days) to reduce severity and prevent future episodes (p. 66). Ensure the first zinc dose is given in your presence. 
– Feeding advice: Continue regular breastfeeding and feeding through the illness (do not withhold food) and give extra fluid (clean water, soups) at home (p. 66).","– Follow up in 3 days to check the child’s status (p. 98). At follow-up, assess for dehydration, weigh if possible, and ask if diarrhea has stopped. If not improving or if diarrhea has persisted to 14 days, refer to a health facility. Advise caregiver to return earlier if the child develops blood in stool, cannot drink, or becomes worse."
"Diarrhea with some dehydration
(child is drinking eagerly, thirsty)",diarrhea ,"– Ask: “How many days of diarrhea?” (to confirm it’s acute <14 days) (p. 23).
– Ask: “Is there blood in the stool?” (p. 23) (to rule out dysentery).
– Ask if the child is able to drink/breastfeed or is vomiting everything (important for hydration status) (p. 23).","– Ask if caregiver noticed sunken eyes or decreased urine (additional dehydration signs).
– Ask what fluids the caregiver has been giving at home (optional, to encourage continued ORS use).","– Assess dehydration: the child is thirsty, drinks eagerly. Eyes may appear slightly sunken and mouth dry – these indicate some dehydration (but child is still able to drink) (p. 66). 
– Ensure no general danger sign: the child is not lethargic/unconscious and can drink (so not severe dehydration).
– Check MUAC/edema to see if there’s underlying malnutrition aggravating illness (p. 44).",Acute diarrhea with some dehydration (child is moderately dehydrated but no danger signs).,"– Rehydrate immediately: Begin supervised ORS therapy. Have the caregiver slowly spoon-feed ORS, aiming for e.g. ~75 ml/kg over 4 hours (or “drink until thirst is quenched”) (p. 66). Monitor the child’s condition during this period. 
– Once the child is rehydrated (no longer thirsty, more alert), send ORS packets home (at least 2) with instructions to continue ORS after every loose stool (p. 66). 
– Zinc supplementation for 10 days (age-appropriate dose) (p. 66). Give first dose now. 
– Advise caregiver to continue feeding and breastfeeding frequently, even during rehydration.","– Follow up in 3 days to ensure hydration has been maintained and diarrhea is improving (p. 98). At follow-up, reassess dehydration status and ask if diarrhea frequency has decreased. If not improving or if any danger signs (e.g. unable to drink) developed, refer the child. Emphasize caregiver should return immediately if child gets worse (e.g. persistent vomiting or refusal to drink)."
Diarrhea with blood in stool (dysentery),diarrhea ,"– Ask: “How long has the child had diarrhea?” (often dysentery is acute, but check if ≥14 days) (p. 23).
– Ask: “Do you see blood in the stool?” (caregiver’s report of red blood or dark sticky stool) (p. 39).","– Ask about fever or abdominal pain (common in dysentery, though management still the same referral).
– Ask if any antibiotics were already given at home (to inform the health facility).","– Confirm blood in stool: if possible, inspect the diaper or ask caregiver to describe stool appearance (presence of blood and mucus indicates dysentery) (p. 39).
– Check for dehydration and general condition (dysentery can also cause dehydration).
– Measure MUAC to identify malnutrition, which could worsen outcomes.",Dysentery (diarrhea with blood in stool) – serious bacterial infection (likely Shigella) that cannot be treated with the CHW’s kit (p. 39). → Refer.,"– Refer to health facility for appropriate antibiotics. Explain that blood in stool (dysentery) needs medicine (antibiotic) that the CHW does not carry (p. 39). 
– Begin ORS to prevent dehydration while arranging referral (give ORS as tolerated). Do not delay referral – start ORS but prioritize getting child to clinic for antibiotic therapy. 
– Advise caregiver to continue breastfeeding on the way and keep the child warm.","– Same-day referral. Instruct caregiver to go to the clinic or hospital immediately for treatment. Provide a referral note indicating “bloody diarrhea”. After treatment, the CHW should follow up in ~3 days to ensure the child is recovering. If unable to reach a facility immediately, the caregiver should continue ORS and return to the CHW or facility the next day at the latest."
Diarrhea ≥14 days (persistent diarrhea),diarrhea ,"– Ask: “Has the child had diarrhea for two weeks or more?” (confirm the duration) (p. 39).
– Ask about weight loss over this period and what the child is being fed (persistent diarrhea often causes malnutrition).","– Ask if stools are sometimes improving or continuously loose each day (to distinguish persistent vs. recurring).
– Ask if any treatment was attempted in those 14+ days (to inform referral).","– Assess hydration and weight: Even if hydrated now, prolonged diarrhea may cause malnutrition – check MUAC and weight trend if available. 
– Check for any blood in stool (could be chronic dysentery) and other signs like thrush or persistent cough (to note if underlying condition like HIV, but CHW mainly just observes).",Persistent diarrhea (duration ≥14 days) – a danger sign indicating possible severe underlying issue (e.g. chronic infection or malnutrition) (p. 39).,"– Refer to health facility for thorough evaluation. A child with ≥14 days of diarrhea needs medical assessment (possible causes like chronic infection or malabsorption) and likely specialized treatment (p. 39). 
– In the meantime, counsel the caregiver to continue feeding (the child is likely malnourished or at risk) and give fluids. The CHW can provide ORS and zinc to manage symptoms, but the key is referral for further care.","– Urgent referral. Explain to the caregiver that because the diarrhea has lasted so long, the child needs tests or treatments beyond community care. Ensure the caregiver understands to go to the facility in the next day or two at latest. After referral, the CHW should follow up (within a week) on the outcome and assist with nutritional support (for example, ensuring feeding plans are followed) once the child is back in the community."
"Diarrhea with vomiting everything
(unable to keep fluids down)",diarrhea ,"– Ask: “Is the child vomiting? If yes, does the child vomit everything he or she drinks or eats?” (p. 23)【55†L32-L36} (this determines if oral treatment is possible).
– Ask: “How long has the diarrhea been and how many times has the child vomited?” (to gauge severity).","– Ask if vomit is immediately after drinking or only occasional (to confirm it’s truly “vomits everything”).
– Confirm no blood in stool (so that dysentery doesn’t complicate management).","– Observe the child drinking (if possible): if the child vomits everything offered (unable to hold down ORS/breastmilk), this is a danger sign – severe dehydration or another serious condition is likely (p. 39)【45†L1568-L1575】.
– Check for other danger signs: is the child lethargic/unresponsive? (Often accompanies inability to retain fluids).
– Check skin turgor and eyes (though if vomiting everything, severe dehydration is already implied).","Severe dehydration (or very severe illness): Child cannot keep fluids down (“vomits everything”), which is a danger sign requiring urgent referral (p. 39).","– Immediate referral: A child who vomits everything cannot rehydrate orally or take oral meds. Refer urgently to a facility for IV fluids or advanced care (p. 39). 
– If available, administer ORS via nasogastric tube or small sips and hope some stays in (if trained and feasible) while en route – but do not delay transport. 
– Do not give zinc or antibiotic orally now, since the child will vomit it; these will be given at the facility. If the child has any signs of severe malnutrition or other illness, mention them in the referral note.","– Urgent hospital referral (same hour). Advise the caregiver that the child needs IV treatment and cannot be managed at home. Assist with arranging transport. There is no at-home follow-up since facility care is needed immediately. After stabilization at the hospital, the CHW should check in with the family within 1–2 days. For any future illness, advise caregivers to seek help early (since this episode escalated to severe dehydration)."
"Fever (acute, <7 days)",fever,"– Ask: “How many days has the child had a fever?” (p. 23)【55†L31-L35} (distinguish from prolonged fever ≥7 days).
– Ask if the child has had any convulsions during this illness (p. 23)【55†L31-L36} (sign of possible severe malaria or other severe illness).
– Confirm if the child has other symptoms like cough or diarrhea (to check for another cause of fever).","– Ask if the child was sleepier than usual or unconscious at any point (could indicate severe febrile illness) (p. 24)【55†L39-L47}.
– Ask about rash or other findings (e.g. rash could indicate measles) – this doesn’t change malaria treatment but is additional info.","– Feel for fever or measure temperature (confirm child is actually hot now) (p. 18)【12†L755-L763】. 
– Do a malaria rapid diagnostic test (RDT) since fever <7 days in a malaria area should be tested for malaria (p. 75). 
– General exam: check for any rash, ear infection, or throat redness (to identify non-malaria causes if RDT is negative, though CHW’s action won’t change much aside from referral if severe).
– Check for danger signs: e.g. stiff neck (if trained), or lethargy. Also assess nutrition (MUAC) as usual.",Febrile illness – suspect Malaria (pending test): acute fever with no localizing signs; assume malaria until proven otherwise in a malaria-endemic area.,"If RDT is positive: Diagnosis = Malaria (confirmed). Start full course of recommended antimalarial (e.g. Artemisinin-based Combination Therapy). Give the first dose of antimalarial (such as Artemether-Lumefantrine) immediately (p. 83) and observe the child for a short while. If fever is high, you may also give antipyretic (e.g. paracetamol) to reduce fever and keep the child hydrated. 
If RDT is negative: No malaria detected. Do not give antimalarial; instead, advise supportive care: keep child hydrated, tepid sponging for fever, and continue monitoring. (The illness could be a viral infection or early malaria not caught by test.)","– Follow up in 3 days regardless of test result, to ensure the fever has resolved (p. 98). If malaria, check if fever subsided and doses are being taken correctly; if not improving by day 3, refer to facility. If RDT-negative and the child still has fever after 3 days, this is now a persistent fever → refer for evaluation (p. 39). In all cases, advise caregivers to return immediately if danger signs develop (convulsions, inability to drink, etc.)."
